com.samsung.shealth.tracker.pedometer_step_count,2,,,,,,,,,
duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
19511,0,33,47:00.0,47:47.5,47:00.4,33,1.2443987,24.279993,1.3099998,48:00.0
30504,0,51,52:00.0,52:59.9,52:32.5,51,1.233602,37.629997,1.9499995,53:00.0
60000,0,114,53:00.0,53:59.9,53:00.4,114,1.4301664,85.80998,4.559997,54:00.0
39247,0,70,54:00.0,55:00.9,54:00.6,70,1.3315637,52.26,2.7799993,55:00.0
46036,0,80,55:00.0,55:59.8,55:28.4,80,1.2828977,59.06,3.179998,56:00.0
55337,0,103,56:00.0,56:54.5,56:00.4,103,1.3994225,77.44002,4.1199975,57:00.0
22653,0,37,57:00.0,15:07.1,57:01.9,37,1.1914288,26.989998,1.46,58:00.0
40004,0,71,33:00.0,33:59.8,33:25.9,71,1.3148412,52.600044,2.7499986,34:00.0
24366,0,47,34:00.0,34:23.2,34:00.4,47,1.4753633,35.95,1.8699994,35:00.0
19686,0,36,35:00.0,35:59.8,35:47.6,36,1.3694649,26.960001,1.3599999,36:00.0
60000,0,113,36:00.0,36:59.8,36:00.3,113,1.4143326,84.85996,4.519997,37:00.0
60000,0,117,37:00.0,37:59.6,37:00.3,117,1.4725006,88.35004,4.679997,38:00.0
60000,0,119,38:00.0,38:59.6,38:00.2,119,1.5005002,90.030014,4.759997,39:00.0
21380,0,41,39:00.0,39:20.2,39:00.2,41,1.4597391,31.210009,1.6399995,40:00.0
9343,0,16,42:00.0,42:59.5,42:54.3,16,1.2522093,11.699998,0.63000005,43:00.0
60000,0,120,43:00.0,44:00.0,43:00.0,120,1.5191671,91.150024,4.7999983,44:00.0
60000,0,118,44:00.0,44:59.8,44:00.4,118,1.4849995,89.09998,4.719997,45:00.0
60000,0,123,45:00.0,47:41.9,45:00.3,123,1.5624998,93.749985,4.919998,46:00.0
60000,0,118,46:00.0,47:41.9,47:41.9,118,1.4966667,89.8,4.71,47:00.0
59183,0,114,47:00.0,47:59.6,47:42.0,114,1.4701725,87.01001,4.5599985,48:00.0
60000,0,121,48:00.0,52:39.3,48:00.1,121,1.5380001,92.28001,4.8199997,49:00.0
60000,0,121,49:00.0,52:39.4,52:39.4,121,1.5398333,92.39,4.82,50:00.0
60000,0,116,50:00.0,52:39.5,52:39.5,116,1.4636666,87.82,4.63,51:00.0
